DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,153,77,3,-4,6,0,0.00000,0.00000.1,0.1,2848035556,155,73,4,-3,91712127,AQI
2025-03-01 05:53:44-08:00,23.39,176.484,10.107000000000001,8.673,-0.20400000000000001,424.0,22.3,32.5,0.02,0.6,0.6,0.0,0.0,1,14.12,183.1,32.45,1,-8,53.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.4392
2025-03-01 05:54:44-08:00,23.39,171.83100000000002,10.062,7.8435,0.384,424.65,22.3,32.5,0.01,0.31,0.31,0.0,0.0,1,14.02,51.71,29.2,1,-5,52.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.3248
2025-03-01 05:55:44-08:00,23.38,174.779,11.124,7.822500000000001,2.16,424.88,22.3,32.5,0.0,0.21,0.21,0.0,0.0,1,13.98,14.61,29.84,1,-6,51.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6000000000000001
2025-03-01 05:56:44-08:00,23.39,176.37400000000002,10.674,9.5655,-1.476,424.96,22.3,32.6,0.0,0.63,0.63,0.0,0.0,1,13.95,4.12,28.62,1,-7,51.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.20879999999999999
2025-03-01 05:57:44-08:00,23.39,172.986,10.98,8.127,1.776,424.98,22.3,32.5,0.0,0.29,0.29,0.0,0.0,1,13.95,1.17,28.19,1,-5,50.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5871999999999999
2025-03-01 05:58:45-08:00,23.39,175.12,10.863000000000001,8.3895,1.32,424.99,22.3,32.5,0.44,0.65,0.65,0.0,0.0,1,13.91,0.33,38.23,1,-7,51.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.784
2025-03-01 05:59:45-08:00,23.38,176.23100000000002,11.376000000000001,9.429,-0.012,425.0,22.3,32.5,0.21,0.31,0.63,0.0,0.0,1,13.91,0.09,28.22,1,-7,50.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.24559999999999998
2025-03-01 06:00:45-08:00,23.38,176.16500000000002,10.773000000000001,8.883000000000001,-1.3679999999999999,425.0,22.3,32.5,0.07,0.33,0.43,0.0,0.0,1,13.87,0.03,29.99,1,-7,50.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.009599999999999997
2025-03-01 06:01:45-08:00,23.38,175.087,10.620000000000001,7.990500000000001,0.06,425.0,22.3,32.5,0.02,0.2,0.24,0.0,0.0,1,13.87,0.01,30.97,1,-7,51.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.17200000000000004
2025-03-01 06:02:46-08:00,23.37,176.627,10.935,8.3055,-0.528,425.0,22.3,32.5,0.03,0.47,0.48,0.0,0.0,1,13.84,0.0,33.12,1,-7,51.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.2704
2025-03-01 06:03:42-08:00,23.37,176.57200000000003,9.954,9.1035,-1.8479999999999999,425.0,22.3,32.6,0.14,0.65,0.65,0.0,0.0,1,14.19,279.45,41.37,1,-7,53.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.15040000000000003
2025-03-01 06:04:42-08:00,23.37,174.46,9.846,8.788499999999999,-0.732,424.54,22.3,32.5,0.07,0.74,0.88,0.0,0.0,1,14.05,78.93,31.82,1,-5,52.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.4456
2025-03-01 06:05:42-08:00,23.36,174.22899999999998,10.314000000000002,8.9355,0.264,424.19,22.3,32.5,0.02,0.62,0.69,0.0,0.0,1,13.98,22.29,27.99,1,-6,52.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5488
2025-03-01 06:06:42-08:00,23.34,176.407,11.403,9.3135,0.24,423.87,22.3,32.6,0.01,0.42,0.45,0.0,0.0,1,13.98,6.3,28.28,1,-7,50.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.384
2025-03-01 06:07:42-08:00,23.33,175.45000000000002,10.71,7.9799999999999995,0.6,423.88,22.3,32.5,0.04,0.75,0.76,0.0,0.0,1,13.95,1.78,31.76,1,-6,52.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.7200000000000001
2025-03-01 06:08:43-08:00,23.31,175.60399999999998,10.395000000000001,7.822500000000001,0.888,423.81,22.3,32.5,0.19,0.6,0.6,0.0,0.0,1,13.91,0.5,35.46,1,-6,51.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6576
2025-03-01 06:09:43-08:00,23.3,180.19100000000003,11.052,8.788499999999999,1.044,423.28,22.3,32.6,0.33,0.64,0.64,0.0,0.0,1,13.91,0.14,32.89,1,-8,50.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.7208
2025-03-01 06:10:43-08:00,23.29,173.61300000000003,9.963000000000001,9.471,-0.06,423.22,22.3,32.5,0.11,0.41,0.44,0.0,0.0,1,13.87,0.04,29.0,1,-4,52.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.316
2025-03-01 06:11:44-08:00,23.29,172.491,10.287,9.324000000000002,0.048,423.08,22.2,32.5,0.03,0.19,0.2,0.0,0.0,1,13.87,0.01,27.05,1,-4,52.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.16160000000000002
2025-03-01 06:12:44-08:00,23.29,177.452,9.936,7.3185,2.688,423.03,22.2,32.5,0.01,0.24,0.25,0.0,0.0,1,13.87,0.0,28.74,1,-7,51.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.7296
2025-03-01 06:13:45-08:00,23.29,176.528,10.044,7.581,1.5,423.01,22.2,32.5,0.07,0.48,0.48,0.0,0.0,1,14.16,280.3,36.03,1,-6,51.0,3.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.684
2025-03-01 06:14:45-08:00,23.29,177.287,10.152,8.620500000000002,1.8359999999999999,423.0,22.2,32.5,0.02,0.39,0.39,0.0,0.0,1,14.05,125.63,27.89,1,-7,52.0,3.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.6792
2025-03-01 06:15:45-08:00,23.29,176.418,9.945,8.148,1.572,423.0,22.2,32.5,0.1,0.69,0.69,0.0,0.0,1,14.02,35.48,29.56,1,-6,51.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8664
