DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,83,46,2,-1,3910151013,3,2341516188,AQI
2025-03-17 18:20:59-07:00,21.88,273.845,10.422,13.3665,14.604,457.21,21.0,29.7,5.07,6.76,7.09,29.0,1,3.0,STAT,,,,8.328800000000001
2025-03-17 18:21:59-07:00,21.89,270.6,8.892000000000001,12.915000000000001,14.988,456.78,21.0,29.6,5.11,6.47,6.77,29.0,1,2.0,STAT,,,,8.1736
2025-03-17 18:22:59-07:00,21.89,241.08700000000002,9.477,11.739,15.647999999999998,456.11,21.0,29.6,4.88,6.52,6.82,29.0,2,2.0,STAT,,,,8.345600000000001
2025-03-17 18:23:59-07:00,21.89,258.687,10.215,13.3035,13.728,455.31,21.0,29.7,4.79,6.48,6.76,29.0,1,2.0,STAT,,,,7.929600000000001
2025-03-17 18:24:59-07:00,21.89,265.94700000000006,11.961,14.185500000000001,12.947999999999999,453.84,21.1,29.7,4.64,6.19,6.33,27.0,1,2.0,STAT,,,,7.541600000000001
2025-03-17 18:25:59-07:00,21.89,271.54600000000005,11.772,13.576500000000001,14.868,453.3,21.1,29.6,4.54,6.01,6.08,27.0,1,2.0,STAT,,,,7.7816
2025-03-17 18:27:00-07:00,21.89,274.615,10.215,12.725999999999999,15.719999999999999,453.19,21.1,29.6,4.96,6.36,6.51,29.0,1,2.0,STAT,,,,8.232000000000001
2025-03-17 18:28:00-07:00,21.89,266.211,11.34,12.474000000000002,15.899999999999999,453.71,21.1,29.7,4.7,6.29,6.57,28.0,1,3.0,STAT,,,,8.212
2025-03-17 18:29:00-07:00,21.9,266.134,9.72,12.516,16.235999999999997,453.9,21.1,29.6,5.01,6.4,7.02,29.0,1,3.0,STAT,,,,8.3672
2025-03-17 18:30:00-07:00,21.9,271.93100000000004,10.08,12.4635,16.596,454.47,21.1,29.6,4.99,6.37,6.6,28.0,1,3.0,STAT,,,,8.4152
2025-03-17 18:31:00-07:00,21.93,260.612,11.007000000000001,11.781,15.96,454.58,21.1,29.5,4.58,6.0,6.07,27.0,1,2.0,STAT,,,,7.992000000000001
2025-03-17 18:32:00-07:00,21.96,246.202,11.916,13.009500000000001,14.723999999999998,454.21,21.1,29.5,4.37,5.78,5.81,27.0,1,2.0,STAT,,,,7.5688
2025-03-17 18:33:00-07:00,21.97,280.588,10.908,13.314,13.799999999999999,454.07,21.1,29.5,4.47,5.8,6.32,27.0,1,2.0,STAT,,,,7.3999999999999995
2025-03-17 18:34:01-07:00,21.97,267.267,9.576,13.503,12.647999999999998,453.98,21.1,29.5,4.33,5.82,6.31,29.0,1,2.0,STAT,,,,7.185600000000001
2025-03-17 18:35:01-07:00,21.98,263.75800000000004,11.133,12.957,14.856,453.54,21.1,29.6,4.31,6.06,6.22,27.0,1,2.0,STAT,,,,7.8192
2025-03-17 18:36:01-07:00,21.99,270.369,11.952,12.684000000000001,15.924,453.29,21.1,29.5,4.77,6.58,7.06,26.0,1,2.0,STAT,,,,8.4488
2025-03-17 18:37:01-07:00,21.99,255.99200000000002,10.143,12.505500000000001,16.02,453.1,21.1,29.5,4.61,6.63,7.09,28.0,2,3.0,STAT,,,,8.508000000000001
2025-03-17 18:38:01-07:00,21.99,259.65500000000003,10.746,12.411000000000001,15.36,453.04,21.1,29.5,4.65,6.08,6.24,28.0,2,2.0,STAT,,,,7.936000000000001
2025-03-17 18:39:01-07:00,21.99,264.27500000000003,10.287,12.316500000000001,15.924,452.78,21.1,29.4,4.7,6.24,6.29,28.0,2,2.0,STAT,,,,8.1768
2025-03-17 18:40:01-07:00,21.99,228.11800000000002,9.081,12.0645,16.116,452.28,21.1,29.5,4.09,6.26,6.78,30.0,2,2.0,STAT,,,,8.231200000000001
2025-03-17 18:41:01-07:00,21.99,267.245,10.197000000000001,12.778500000000001,14.112,452.1,21.1,29.5,4.48,6.41,6.73,28.0,1,2.0,STAT,,,,7.9504
2025-03-17 18:42:01-07:00,21.99,269.18100000000004,10.944,12.705,14.796,452.03,21.2,29.6,4.62,6.51,7.04,28.0,1,2.0,STAT,,,,8.167200000000001
2025-03-17 18:43:01-07:00,21.99,267.25600000000003,10.35,12.5475,14.747999999999998,452.28,21.2,29.5,4.98,6.85,7.03,29.0,1,2.0,STAT,,,,8.4296
2025-03-17 18:44:02-07:00,21.99,260.70000000000005,10.566,13.0515,14.508,452.1,21.2,29.4,5.24,7.21,7.27,29.0,1,2.0,STAT,,,,8.6696
2025-03-17 18:45:03-07:00,22.0,260.711,9.729000000000001,12.3795,15.443999999999999,452.04,21.2,29.4,4.59,6.46,6.53,30.0,1,2.0,STAT,,,,8.2568
2025-03-17 18:46:03-07:00,22.03,267.696,10.692,13.104000000000001,15.024,451.4,21.2,29.4,4.9,7.49,7.66,29.0,1,2.0,STAT,,,,8.9968
2025-03-17 18:47:03-07:00,22.06,267.02500000000003,9.468,12.2955,16.392,451.14,21.2,29.4,5.02,7.09,7.15,30.0,1,2.0,STAT,,,,8.9504
2025-03-17 18:48:03-07:00,22.07,264.858,11.682,12.505500000000001,16.164,451.05,21.2,29.4,5.24,6.87,6.99,28.0,1,2.0,STAT,,,,8.728800000000001
2025-03-17 18:49:03-07:00,22.07,245.54200000000003,11.331,12.096,16.86,450.47,21.2,29.4,5.03,7.32,7.4,28.0,1,3.0,STAT,,,,9.228000000000002
2025-03-17 18:50:03-07:00,22.08,261.92100000000005,10.998000000000001,12.7995,14.591999999999999,450.17,21.2,29.5,4.82,6.93,7.1,28.0,1,2.0,STAT,,,,8.4624
