DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,275,78,0,-11,6,0.1,0.00000,0.00000.1,0.2,758574998,148,72,2,-5,1320373942,AQI
2025-02-23 04:15:38-08:00,22.29,174.966,11.277,8.484,-3.6359999999999997,417.01,21.4,36.5,0.0,0.57,0.68,0.0,0.0,1,13.95,5.25,27.99,1,-8,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.2712
2025-02-23 04:16:38-08:00,22.29,174.823,10.520999999999999,7.5705,-1.128,417.0,21.4,36.5,0.0,0.27,0.48,0.0,0.0,1,13.95,1.48,29.55,1,-7,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.00959999999999997
2025-02-23 04:17:38-08:00,22.29,172.304,10.917000000000002,8.022,-0.66,417.0,21.4,36.4,0.0,0.31,0.48,0.0,0.0,1,13.91,0.42,36.6,1,-7,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.11599999999999999
2025-02-23 04:18:38-08:00,22.29,173.96500000000003,11.259,7.2765,0.552,417.0,21.4,36.5,0.0,0.2,0.26,0.0,0.0,1,13.91,0.12,31.58,1,-7,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.27040000000000003
2025-02-23 04:19:38-08:00,22.29,173.75600000000003,11.07,8.368500000000001,-1.9799999999999998,417.0,21.4,36.5,0.0,0.31,0.33,0.0,0.0,1,13.87,0.03,31.4,1,-7,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.14799999999999996
2025-02-23 04:20:38-08:00,22.29,175.054,10.593,7.833,-2.268,417.0,21.5,36.5,0.0,0.1,0.11,0.0,0.0,1,13.87,0.01,29.46,1,-8,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.3736
2025-02-23 04:21:39-08:00,22.29,177.287,10.431000000000001,6.993,0.072,417.0,21.4,36.5,0.0,0.13,0.13,0.0,0.0,1,13.84,0.0,27.82,1,-9,49.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.1184
2025-02-23 04:22:40-08:00,22.28,175.19700000000003,10.431000000000001,7.2555000000000005,-0.372,417.0,21.4,36.5,0.0,0.11,0.11,0.0,0.0,1,14.16,307.83,33.6,1,-7,49.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,0.013600000000000001
2025-02-23 04:23:40-08:00,22.29,174.27300000000002,10.773000000000001,7.14,-1.6440000000000001,417.0,21.4,36.5,0.0,0.25,0.49,0.0,0.0,1,14.02,86.94,34.33,1,-8,48.0,0.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.12880000000000003
2025-02-23 04:24:40-08:00,22.29,174.361,10.610999999999999,7.948500000000001,-1.488,417.0,21.4,36.5,0.0,0.27,0.43,0.0,0.0,1,13.98,24.55,28.06,1,-8,48.0,1.0,0,STAT,0,LAT,LON,W,CRC,,,,,,,-0.0816
