DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,127,80,2,-7,6,0,0.00000,0.00000.1,0.1,3394425633,216,83,-10,0.2,1121389567,AQI
2025-02-20 23:54:53-08:00,23.19,181.80800000000002,10.071,9.8175,2.904,484.12,22.2,30.4,0.0,0.45,0.48,0.0,0.0,1,13.91,0.2,30.84,1,-3,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.9408000000000001
2025-02-20 23:55:53-08:00,23.19,182.10500000000002,9.342,9.1035,5.0760000000000005,486.38,22.2,30.4,0.0,0.28,0.63,0.0,0.0,1,13.91,0.06,30.11,1,-3,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2392
2025-02-20 23:56:53-08:00,23.19,180.45500000000004,9.918,8.232,5.232,488.08,22.2,30.3,0.0,0.58,0.82,0.0,0.0,1,13.87,0.02,27.75,1,-2,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.5104
2025-02-20 23:57:53-08:00,23.19,176.88000000000002,10.287,8.693999999999999,4.14,488.28,22.2,30.3,0.0,0.4,0.64,0.0,0.0,1,13.87,0.0,27.13,1,-1,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1480000000000001
2025-02-20 23:58:53-08:00,23.19,176.55,9.657,9.975,4.428,488.1,22.2,30.3,0.0,0.32,0.4,0.0,0.0,1,14.05,166.45,34.48,1,-1,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1416
2025-02-20 23:59:54-08:00,23.19,183.39200000000002,9.495000000000001,10.5315,3.9359999999999995,488.03,22.2,30.4,0.0,0.48,0.51,0.0,0.0,1,14.09,166.22,33.01,1,-4,60.0,2.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1711999999999998
2025-02-21 00:00:54-08:00,23.19,179.93800000000002,9.756,9.261000000000001,5.796,487.66,22.2,30.3,0.0,0.23,0.24,0.0,0.0,1,14.02,46.95,27.69,1,-1,60.0,1.0,2.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3432
2025-02-21 00:01:54-08:00,23.19,179.06900000000002,9.387,9.880500000000001,3.804,486.88,22.2,30.3,0.0,0.32,0.32,0.0,0.0,1,13.98,13.26,29.33,1,-2,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.0168
2025-02-21 00:02:54-08:00,23.19,178.15600000000003,9.234,10.4685,2.4359999999999995,486.31,22.2,30.3,0.06,0.45,0.48,0.0,0.0,1,13.95,3.74,30.72,1,-2,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8472
2025-02-21 00:03:54-08:00,23.19,180.477,9.018,11.0775,1.716,486.11,22.2,30.3,0.02,0.3,0.31,0.0,0.0,1,13.95,1.06,26.17,1,-2,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.5831999999999999
2025-02-21 00:04:54-08:00,23.19,178.94800000000004,9.531,10.626,2.016,486.04,22.2,30.3,0.01,0.43,0.43,0.0,0.0,1,13.91,0.3,30.04,1,-2,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.7472000000000001
