DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,167,50,3,1973479744,93,43,1,-2,480185926,AQI
2025-03-15 10:46:31-07:00,22.31,312.71900000000005,10.206,11.2035,15.636,402.7,21.3,27.0,4.34,6.29,6.47,30.0,2.0,3.0,,,,,,,8.1592
2025-03-15 10:47:33-07:00,22.3,307.824,11.538,11.382,14.927999999999999,402.83,21.3,26.9,4.89,6.85,6.99,29.0,2.0,3.0,,,,,,,8.4656
2025-03-15 10:48:33-07:00,22.3,311.33299999999997,11.106,10.521,16.907999999999998,402.94,21.3,27.0,4.58,6.53,6.58,29.0,2.0,3.0,,,,,,,8.605599999999999
2025-03-15 10:49:33-07:00,22.29,311.33299999999997,11.232000000000001,10.689,15.947999999999999,402.98,21.3,26.9,4.5,6.38,6.4,29.0,1.0,3.0,,,,,,,8.2936
2025-03-15 10:50:33-07:00,22.29,300.597,12.15,10.08,17.232,402.99,21.3,27.0,4.92,6.63,6.63,28.0,2.0,3.0,,,,,,,8.7504
2025-03-15 10:51:33-07:00,22.29,308.077,11.484,12.0015,15.084,403.0,21.3,27.0,5.2,7.65,8.0,28.0,1.0,3.0,,,,,,,9.136800000000001
2025-03-15 10:52:34-07:00,22.29,310.72800000000007,11.583,10.552500000000002,15.839999999999998,403.0,21.3,27.0,4.64,7.23,7.52,29.0,1.0,3.0,,,,,,,8.952
2025-03-15 10:53:34-07:00,22.29,300.949,11.349,11.182500000000001,14.808,403.0,21.3,27.0,4.59,7.05,7.14,28.0,2.0,3.0,,,,,,,8.601600000000001
2025-03-15 10:54:34-07:00,22.29,300.531,11.088000000000001,11.697000000000001,14.136,402.35,21.3,27.0,4.72,7.13,7.16,29.0,2.0,3.0,,,,,,,8.5312
2025-03-15 10:55:34-07:00,22.29,302.225,9.117,11.004000000000001,16.656,401.88,21.3,27.0,4.46,7.0,7.01,30.0,2.0,3.0,,,,,,,8.9312
2025-03-15 10:56:34-07:00,22.29,304.007,11.16,11.424000000000001,14.879999999999999,401.96,21.3,27.0,4.18,7.05,7.06,29.0,2.0,3.0,,,,,,,8.616
2025-03-15 10:57:35-07:00,22.29,315.26000000000005,10.728,10.4475,16.584,401.98,21.3,27.0,4.53,6.92,6.93,29.0,1.0,3.0,,,,,,,8.8528
2025-03-15 10:58:35-07:00,22.29,303.523,10.899,10.7415,16.692,401.99,21.3,27.0,4.75,7.36,7.83,29.0,2.0,3.0,,,,,,,9.226400000000002
2025-03-15 10:59:35-07:00,22.29,288.59600000000006,11.097,11.0355,15.707999999999998,402.0,21.3,27.0,4.77,6.83,6.99,29.0,2.0,3.0,,,,,,,8.6056
2025-03-15 11:00:35-07:00,22.29,310.67300000000006,11.295000000000002,10.605,15.456,401.89,21.3,27.1,4.62,6.3,6.35,28.0,1.0,3.0,,,,,,,8.1312
2025-03-15 11:01:35-07:00,22.29,299.761,11.241,10.5945,15.995999999999999,401.96,21.3,27.1,4.76,6.6,6.78,29.0,2.0,3.0,,,,,,,8.4792
2025-03-15 11:02:35-07:00,22.29,297.396,11.475,10.290000000000001,15.864,401.99,21.3,27.1,4.69,6.85,6.91,28.0,1.0,3.0,,,,,,,8.652800000000001
2025-03-15 11:03:36-07:00,22.29,306.647,10.179,9.880500000000001,16.764,402.0,21.3,27.1,4.79,6.95,6.97,29.0,1.0,3.0,,,,,,,8.9128
2025-03-15 11:04:36-07:00,22.29,303.545,10.746,9.996,17.496,402.0,21.3,27.1,5.18,7.26,7.3,29.0,1.0,3.0,,,,,,,9.3072
2025-03-15 11:05:36-07:00,22.29,297.979,10.458,11.0145,15.431999999999999,401.71,21.3,27.1,4.86,6.53,6.71,29.0,2.0,3.0,,,,,,,8.3104
2025-03-15 11:06:36-07:00,22.29,296.52700000000004,11.466000000000001,10.909500000000001,15.588,401.86,21.2,27.1,4.58,6.65,6.71,28.0,2.0,3.0,,,,,,,8.4376
2025-03-15 11:07:36-07:00,22.29,302.33500000000004,12.132000000000001,10.552500000000002,16.584,402.11,21.2,27.1,4.4,6.54,6.56,28.0,2.0,3.0,,,,,,,8.5488
2025-03-15 11:08:35-07:00,22.29,295.28400000000005,10.754999999999999,10.3425,16.128,402.23,21.3,27.1,4.03,5.65,5.72,29.0,1.0,3.0,,,,,,,7.7456000000000005
2025-03-15 11:09:35-07:00,22.29,302.786,12.582,11.067,14.904,401.93,21.2,27.2,3.79,5.12,5.14,27.0,2.0,3.0,,,,,,,7.0768
2025-03-15 11:10:35-07:00,22.29,300.993,12.609,11.340000000000002,15.468,401.79,21.2,27.2,4.25,6.31,6.32,27.0,2.0,3.0,,,,,,,8.1416
2025-03-15 11:11:35-07:00,22.29,294.63500000000005,10.602,11.3505,15.803999999999998,401.84,21.3,27.2,4.07,6.14,6.14,29.0,2.0,3.0,,,,,,,8.0728
2025-03-15 11:12:36-07:00,22.29,296.16400000000004,10.044,11.025,15.419999999999998,401.94,21.3,27.2,4.58,6.46,6.61,29.0,2.0,3.0,,,,,,,8.251999999999999
2025-03-15 11:13:38-07:00,22.29,301.37800000000004,10.017000000000001,10.2375,16.896,401.98,21.2,27.2,4.38,6.56,6.61,28.0,2.0,3.0,,,,,,,8.6272
