DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,AQHI,NO2_contrib,O3_contrib,PM25_contrib,Top_AQHI_Contributor
2025-05-05T09:40:25,16.86,95.02900000000001,17.739,10.489500000000001,10.296,420.03,20.3,35.9,1.63,2.31,2.73,1.806548877986147,0.7919826337858575,0.1350223256460024,0.07299504056814002,NO2
2025-05-05T09:41:26,16.82,95.766,18.405,10.5945,10.895999999999999,420.42,20.2,35.9,1.86,2.1,2.25,1.8048320804527167,0.790802039822628,0.13615080564834142,0.07304715452903059,NO2
2025-05-05T09:42:26,16.79,98.50500000000001,18.666,10.4685,12.084,420.8,20.0,36.4,1.95,2.58,2.95,1.8029582321640014,0.7894735653327837,0.13757096696008986,0.07295546770712644,NO2
2025-05-05T09:43:27,16.78,98.70300000000002,18.189,10.542,12.384,421.33,19.8,36.6,1.42,2.46,2.58,1.8009497872176203,0.7880333984256302,0.13915397824954964,0.07281262332482014,NO2
2025-05-05T09:44:27,16.77,98.593,18.432000000000002,11.8335,11.364,422.11,19.6,37.0,1.53,2.31,2.35,1.7996313562899613,0.7866769248488696,0.14050632488456058,0.07281675026656974,NO2
2025-05-05T09:45:27,16.75,107.03,19.719,12.043500000000002,10.728,423.04,19.5,37.4,1.73,2.74,2.96,1.7984454724739434,0.7851118091307718,0.14194810384014855,0.07294008702907963,NO2
2025-05-05T09:46:28,16.7,99.94600000000001,19.197,13.2825,9.144,423.66,19.3,38.0,1.58,2.52,2.67,1.7974110074581802,0.7837600002555137,0.1431608281488968,0.07307917159558945,NO2
2025-05-05T09:47:28,16.68,113.03600000000002,18.657,13.450500000000002,10.2,423.88,19.3,38.3,1.9,2.44,2.49,1.796604308865212,0.7825282242808156,0.14424524168044567,0.07322653403873874,NO2
2025-05-05T09:48:28,16.67,111.81500000000001,18.702,14.532,8.88,423.96,19.1,38.8,1.93,2.85,2.86,1.7963620378012322,0.7817949165658987,0.14477579871454915,0.07342928471955212,NO2
2025-05-05T09:49:28,16.67,111.69400000000002,18.585,13.0305,10.68,424.63,19.0,38.7,1.57,2.48,2.61,1.7952777973031433,0.7808506967981748,0.1455784501496903,0.0735708530521349,NO2
2025-05-05T09:50:28,16.63,116.721,18.252000000000002,11.907,13.296,424.58,18.9,38.6,1.18,2.32,2.5,1.7948347071139243,0.7793727138734587,0.14699327644908133,0.07363400967745991,NO2
2025-05-05T09:51:28,16.59,112.35400000000001,17.505,12.411000000000001,12.984,423.75,18.8,39.1,1.32,2.17,2.3,1.7943725797745373,0.7778277271943267,0.14848735961010626,0.07368491319556704,NO2
